mouse_id,sex,order,epoch_E1_meal_size,epoch_E1_snack_size,epoch_E1_number_of_meals,epoch_E1_meal_frequency,epoch_E1_number_of_snacks,epoch_E1_snack_frequency,epoch_E1_mega_meal_frequency,epoch_E1_mega_meal_size,epoch_E1_number_of_mega_meals,epoch_E1_pellets_per_day,epoch_E1_meals_per_day,epoch_E1_snacks_per_day,epoch_E1_mega_meals_per_day,epoch_E2_meal_size,epoch_E2_snack_size,epoch_E2_number_of_meals,epoch_E2_meal_frequency,epoch_E2_number_of_snacks,epoch_E2_snack_frequency,epoch_E2_mega_meal_frequency,epoch_E2_mega_meal_size,epoch_E2_number_of_mega_meals,epoch_E2_pellets_per_day,epoch_E2_meals_per_day,epoch_E2_snacks_per_day,epoch_E2_mega_meals_per_day,epoch_E3_meal_size,epoch_E3_snack_size,epoch_E3_number_of_meals,epoch_E3_meal_frequency,epoch_E3_number_of_snacks,epoch_E3_snack_frequency,epoch_E3_mega_meal_frequency,epoch_E3_mega_meal_size,epoch_E3_number_of_mega_meals,epoch_E3_pellets_per_day,epoch_E3_meals_per_day,epoch_E3_snacks_per_day,epoch_E3_mega_meals_per_day,epoch_E4_meal_size,epoch_E4_snack_size,epoch_E4_number_of_meals,epoch_E4_meal_frequency,epoch_E4_number_of_snacks,epoch_E4_snack_frequency,epoch_E4_mega_meal_frequency,epoch_E4_mega_meal_size,epoch_E4_number_of_mega_meals,epoch_E4_pellets_per_day,epoch_E4_meals_per_day,epoch_E4_snacks_per_day,epoch_E4_mega_meals_per_day
FEDXC01,M,2,2.926829268292683,1.0,246,1.472796667248734,99,0.5927108538927832,0.2155312195973757,8.027777777777779,36,"[162, 156, 140, 166, 157, 168, 159]","[40, 37, 42, 33, 33, 30, 31]","[26, 18, 16, 9, 5, 13, 12]","[3, 4, 0, 7, 7, 8, 7]",2.720689655172414,1.0,290,1.7271642907128524,162,0.9648297072258003,0.1131590397363593,6.947368421052632,19,"[134, 132, 140, 154, 162, 177, 184]","[36, 36, 34, 44, 46, 48, 46]","[18, 13, 20, 26, 28, 24, 33]","[2, 2, 4, 2, 1, 3, 5]",3.2551440329218106,1.0,243,1.4468879009209274,65,0.38702762781835504,0.3393934582407114,7.421052631578948,57,"[230, 183, 176, 166, 176, 161, 187]","[45, 32, 32, 34, 36, 23, 41]","[21, 12, 5, 2, 9, 8, 8]","[10, 8, 9, 6, 7, 10, 7]",2.718213058419244,1.0,291,1.7451710437542167,168,1.007521427322022,0.08396011894350183,6.571428571428571,14,"[139, 108, 127, 169, 179, 162, 167]","[43, 30, 37, 45, 51, 47, 38]","[17, 9, 27, 35, 30, 24, 26]","[1, 1, 0, 1, 3, 3, 5]"
FEDXC02,M,2,2.758490566037736,1.0,265,1.5641652047023333,304,1.7943631027528655,0.22429538784410818,7.2631578947368425,38,"[188, 190, 184, 185, 196, 180, 176]","[43, 43, 36, 40, 34, 28, 38]","[44, 53, 34, 37, 47, 48, 37]","[5, 3, 7, 5, 6, 6, 6]",2.563517915309446,1.0,307,1.8298225310558234,338,2.01459288435462,0.08940500966070798,6.8,15,"[168, 157, 164, 168, 183, 181, 206]","[45, 44, 37, 39, 46, 47, 49]","[61, 48, 64, 56, 44, 31, 34]","[0, 0, 2, 2, 1, 5, 5]",2.7103658536585367,1.0,328,1.9532723266570065,196,1.167199317148699,0.19651825237707685,7.515151515151516,33,"[235, 196, 197, 170, 189, 169, 177]","[55, 51, 52, 50, 42, 40, 38]","[31, 26, 20, 16, 37, 24, 42]","[7, 5, 4, 3, 4, 5, 5]",2.6055900621118013,1.0,322,1.9294177958498877,359,2.151121082950651,0.05392782659207761,7.0,9,"[157, 166, 165, 184, 196, 191, 202]","[43, 46, 36, 53, 46, 45, 53]","[38, 42, 74, 49, 73, 44, 39]","[1, 2, 1, 1, 1, 2, 1]"
FEDXC03,M,2,2.537444933920705,1.0,227,1.3388249402836894,387,2.282490096430783,0.1828351240034994,7.161290322580645,31,"[161, 163, 175, 168, 171, 166, 165]","[34, 35, 41, 30, 28, 21, 37]","[60, 54, 64, 37, 52, 65, 50]","[2, 3, 1, 8, 6, 7, 3]",2.567685589519651,1.0,229,1.3681647772251349,369,2.204597392122597,0.1792355603351705,9.2,30,"[152, 169, 173, 183, 191, 177, 188]","[33, 36, 38, 40, 33, 35, 14]","[65, 65, 52, 55, 57, 45, 30]","[1, 2, 4, 4, 6, 5, 8]",2.7644927536231885,1.0,276,1.6491395793499042,294,1.7566921606118546,0.24498087954110898,8.390243902439025,41,"[281, 195, 187, 179, 171, 189, 199]","[29, 47, 45, 32, 32, 41, 50]","[27, 40, 48, 53, 53, 42, 31]","[16, 3, 3, 6, 4, 5, 4]",2.650735294117647,1.0,272,1.632555068723366,392,2.3527999519836746,0.08402856971370266,6.642857142857143,14,"[158, 154, 165, 174, 184, 192, 179]","[34, 30, 35, 43, 45, 41, 44]","[54, 55, 66, 43, 62, 56, 56]","[2, 2, 1, 2, 0, 5, 2]"
FEDXC04,M,2,2.6801470588235294,1.0,272,1.865551501757528,357,2.4485363460567555,0.12345561408689523,8.0,18,"[205, 219, 197, 205, 200, 191, 13]","[47, 49, 44, 46, 42, 42, 2]","[78, 59, 64, 43, 52, 53, 8]","[1, 4, 2, 4, 4, 3, 0]",2.7941176470588234,1.0,340,2.0237559852913947,278,1.6547181291500226,0.10118779926456972,6.705882352941177,17,"[152, 166, 193, 196, 204, 206, 224]","[32, 39, 47, 57, 51, 51, 63]","[56, 50, 41, 32, 39, 35, 24]","[2, 3, 3, 1, 1, 4, 3]",2.796747967479675,1.0,369,2.2021451187772496,266,1.5874542048638167,0.1730683155678597,7.241379310344827,29,"[249, 227, 207, 207, 197, 206, 215]","[63, 60, 50, 51, 51, 43, 51]","[48, 36, 29, 30, 35, 36, 52]","[4, 3, 5, 4, 3, 7, 3]",2.7857142857142856,1.0,336,2.0125585249223827,302,1.8089067694242846,0.12578490780764892,7.238095238095238,21,"[166, 189, 224, 217, 86, 254, 254]","[40, 50, 51, 55, 24, 56, 60]","[50, 47, 43, 36, 32, 37, 57]","[3, 1, 4, 3, 0, 7, 3]"
FEDXC05,M,2,2.729032258064516,1.0,310,1.8299041759856232,291,1.7177487587477946,0.1062525005411007,7.0,18,"[187, 162, 132, 154, 219, 210, 190]","[38, 44, 31, 41, 53, 55, 45]","[53, 42, 30, 40, 49, 40, 35]","[4, 1, 3, 1, 3, 3, 3]",2.8409638554216867,1.0,415,2.4668608452713547,323,1.919990489211199,0.2139927480235392,7.5,36,"[181, 205, 239, 257, 266, 309, 312]","[44, 53, 61, 62, 62, 65, 68]","[68, 50, 46, 42, 42, 33, 39]","[0, 1, 4, 5, 5, 12, 9]",3.0,1.0,358,2.1393996135535147,191,1.1414115256668194,0.2689189458377323,7.4,45,"[254, 233, 217, 223, 231, 214, 226]","[55, 47, 47, 54, 49, 43, 63]","[31, 24, 25, 22, 31, 27, 31]","[7, 11, 6, 6, 6, 7, 2]",2.9566326530612246,1.0,392,2.3458187675475126,199,1.1908620784233546,0.3291327352426357,7.327272727272727,55,"[216, 223, 230, 251, 289, 265, 287]","[50, 54, 64, 53, 60, 58, 53]","[47, 35, 29, 20, 33, 13, 22]","[4, 5, 3, 10, 11, 7, 15]"
FEDXC06,M,2,2.7971014492753623,1.0,276,1.6243017513229328,163,0.9592796574841959,0.21775059709763955,7.324324324324325,37,"[193, 167, 167, 172, 174, 155, 160]","[39, 37, 32, 34, 38, 41, 50]","[41, 37, 24, 18, 12, 14, 15]","[7, 5, 7, 7, 6, 4, 1]",2.705084745762712,1.0,295,1.7542294770017544,227,1.34986471620135,0.10703773080010705,6.833333333333333,18,"[136, 140, 159, 166, 178, 186, 182]","[42, 40, 43, 39, 45, 41, 45]","[30, 29, 45, 37, 18, 23, 44]","[0, 1, 1, 3, 5, 6, 2]",2.92,1.0,325,1.9407812888778302,124,0.7404827071410798,0.17914904205026125,7.2,30,"[199, 209, 195, 174, 163, 173, 176]","[41, 48, 45, 35, 55, 45, 56]","[25, 14, 20, 13, 16, 18, 18]","[8, 7, 6, 6, 0, 2, 1]",2.769230769230769,1.0,338,2.0219308376024636,192,1.148552428460571,0.07178452677878569,6.833333333333333,12,"[169, 171, 174, 160, 173, 182, 181]","[50, 50, 52, 42, 52, 39, 53]","[37, 24, 26, 31, 31, 24, 19]","[0, 1, 0, 2, 2, 5, 2]"
FEDXC07,M,1,2.6655172413793102,1.0,290,1.708540081957555,311,1.832261949961378,0.15907097314777235,7.222222222222222,27,"[211, 176, 173, 192, 169, 175, 169]","[56, 40, 35, 38, 45, 35, 39]","[31, 27, 49, 42, 45, 56, 53]","[5, 5, 4, 5, 2, 4, 2]",2.6893203883495147,1.0,309,1.8442806410218149,379,2.26207884448954,0.06565400340207107,6.363636363636363,11,"[183, 178, 169, 179, 182, 188, 201]","[43, 38, 34, 43, 47, 48, 56]","[65, 61, 67, 52, 51, 45, 38]","[1, 3, 2, 2, 0, 2, 1]",2.5740072202166067,1.0,277,1.6564784053156145,332,1.9853820598006644,0.13156146179401992,7.090909090909091,22,"[187, 184, 177, 176, 160, 162, 155]","[49, 43, 38, 42, 37, 32, 36]","[40, 63, 62, 41, 40, 37, 49]","[3, 2, 3, 4, 3, 5, 2]",2.992565055762082,1.0,269,1.6282635890399906,177,1.0713853355393246,0.19369678382631858,7.21875,32,"[173, 148, 154, 165, 189, 183, 201]","[37, 37, 32, 27, 44, 46, 46]","[44, 19, 27, 16, 26, 18, 27]","[4, 2, 3, 8, 5, 3, 7]"
FEDXC08,M,1,2.5912698412698414,1.0,252,1.4812637766348273,430,2.527553269654666,0.1704628949301984,7.620689655172414,29,"[168, 172, 189, 194, 184, 195, 183]","[31, 37, 37, 37, 35, 37, 34]","[79, 58, 79, 62, 46, 50, 46]","[2, 2, 3, 2, 6, 8, 6]",2.550359712230216,1.0,278,1.668642427334524,312,1.87272099758407,0.15606008313200584,8.538461538461538,26,"[181, 175, 185, 184, 183, 160, 175]","[39, 36, 35, 44, 40, 40, 44]","[64, 48, 54, 40, 39, 36, 31]","[3, 4, 5, 4, 4, 3, 3]",2.6554054054054053,1.0,296,1.77255828266782,252,1.5090698892982792,0.1796511772974142,7.866666666666666,30,"[180, 186, 175, 179, 184, 174, 196]","[42, 49, 37, 42, 45, 36, 45]","[30, 34, 24, 32, 50, 39, 43]","[5, 3, 5, 4, 2, 5, 6]",3.024822695035461,1.0,282,1.722263031909028,147,0.8977754102504507,0.317580417231452,7.230769230769231,52,"[181, 178, 203, 203, 190, 213, 208]","[46, 51, 46, 34, 33, 42, 30]","[43, 21, 31, 15, 16, 9, 12]","[3, 3, 5, 9, 9, 10, 13]"
FEDXC09,M,1,2.6941176470588237,1.0,255,1.4994536304581827,324,1.9051881422292205,0.20580736104327998,7.371428571428571,35,"[175, 177, 187, 187, 173, 179, 174]","[42, 34, 32, 37, 37, 36, 34]","[43, 42, 33, 39, 50, 53, 62]","[3, 6, 8, 6, 4, 5, 2]",2.6123076923076924,1.0,325,1.9483114633983882,294,1.7624725238126957,0.13788050356357823,7.130434782608695,23,"[188, 183, 183, 183, 193, 195, 182]","[47, 45, 54, 46, 43, 48, 42]","[65, 44, 31, 47, 35, 35, 37]","[2, 3, 1, 2, 5, 5, 5]",2.6,1.0,320,1.9298034012784948,299,1.8031600530695937,0.15076589072488242,7.24,25,"[193, 197, 177, 198, 203, 178, 166]","[47, 47, 42, 46, 50, 45, 43]","[50, 40, 35, 39, 50, 43, 42]","[4, 4, 6, 3, 4, 3, 1]",2.93730407523511,1.0,319,1.916702550596341,270,1.6222874252696304,0.18025415836329226,6.633333333333334,30,"[180, 163, 232, 232, 216, 205, 178]","[35, 35, 47, 50, 51, 52, 49]","[27, 18, 47, 36, 62, 42, 38]","[6, 7, 5, 9, 1, 2, 0]"
FEDXC10,M,1,3.08502024291498,1.0,247,1.4525471849138958,123,0.7233332135401181,0.37048774352054836,7.507936507936508,63,"[195, 187, 179, 203, 193, 208, 179]","[36, 39, 29, 41, 33, 31, 35]","[21, 15, 12, 19, 19, 15, 17]","[8, 8, 11, 8, 8, 12, 8]",2.8636363636363638,1.0,286,1.703603445594226,144,0.8577583782012885,0.3693126350588881,7.741935483870968,62,"[178, 212, 210, 211, 220, 207, 205]","[38, 39, 32, 47, 50, 40, 40]","[16, 17, 22, 17, 19, 26, 27]","[8, 10, 11, 9, 7, 8, 9]",2.9671532846715327,1.0,274,1.6446496366064596,117,0.7022773995728313,0.2581019502703568,7.744186046511628,43,"[181, 184, 182, 160, 210, 143, 203]","[31, 41, 38, 37, 49, 29, 49]","[16, 13, 26, 20, 15, 16, 11]","[9, 6, 6, 5, 6, 5, 6]",3.221014492753623,1.0,276,1.6682337139019474,115,0.6950973807924781,0.3143049026192075,6.865384615384615,52,"[184, 205, 175, 206, 199, 215, 177]","[51, 51, 33, 35, 47, 36, 23]","[11, 11, 20, 16, 15, 20, 22]","[4, 6, 6, 11, 4, 9, 12]"
FEDXC11,M,1,2.6451612903225805,1.0,310,1.821642285606088,300,1.762879631231698,0.15865916681085285,7.222222222222222,27,"[176, 173, 192, 213, 183, 184, 177]","[50, 38, 35, 50, 50, 41, 45]","[36, 54, 51, 35, 33, 46, 38]","[1, 3, 7, 6, 1, 4, 4]",2.6605504587155964,1.0,327,1.9461550542665136,281,1.6723840068773403,0.1309339791861263,6.863636363636363,22,"[177, 178, 192, 190, 189, 175, 200]","[49, 49, 43, 52, 42, 40, 52]","[34, 31, 44, 52, 36, 49, 34]","[3, 2, 4, 1, 5, 2, 5]",2.7761627906976742,1.0,344,2.062264260913731,231,1.3848344310205578,0.10790917644316034,7.222222222222222,18,"[202, 191, 170, 189, 186, 179, 199]","[50, 54, 40, 44, 49, 48, 59]","[38, 30, 45, 29, 31, 24, 34]","[3, 2, 2, 4, 2, 4, 1]",3.298507462686567,1.0,201,1.2095116153900156,116,0.6980266039066757,0.2888385947200037,7.604166666666667,48,"[170, 212, 173, 146, 158, 130, 155]","[52, 46, 26, 15, 24, 16, 22]","[29, 15, 20, 16, 18, 8, 10]","[0, 6, 9, 10, 8, 8, 7]"
FEDXC12,M,1,2.6566265060240966,1.0,332,1.950843700726996,334,1.9625957712133033,0.14690088107884008,7.48,25,"[195, 187, 190, 203, 208, 222, 179]","[41, 46, 47, 49, 44, 54, 46]","[71, 66, 48, 41, 42, 33, 26]","[3, 1, 3, 4, 6, 5, 3]",2.8197183098591547,1.0,355,2.1108545492384074,190,1.1297531390290068,0.1664899362779589,6.75,28,"[181, 192, 194, 197, 193, 210, 211]","[53, 55, 47, 52, 51, 51, 45]","[26, 29, 44, 29, 15, 20, 27]","[1, 3, 5, 4, 3, 5, 7]",3.0776119402985076,1.0,335,2.0095913830854393,144,0.8638243557143381,0.20995730868056828,7.685714285714286,35,"[205, 213, 213, 217, 195, 205, 196]","[51, 41, 41, 43, 52, 58, 49]","[29, 13, 15, 28, 23, 14, 22]","[2, 8, 10, 7, 3, 1, 4]",3.2765151515151514,1.0,264,1.5934144235524894,117,0.7061723013471259,0.4768171949266919,7.962025316455696,79,"[239, 226, 201, 233, 271, 214, 227]","[48, 24, 31, 40, 47, 36, 38]","[9, 16, 17, 22, 17, 22, 14]","[11, 15, 9, 10, 12, 10, 12]"
