"contrast","epoch","estimate","SE","df","t.ratio","p.value"
"day_in_epoch_factor1 - day_in_epoch_factor2","E1",5.33333333333514,14.9889337962543,135.000000000004,0.355818059231666,1
"day_in_epoch_factor1 - day_in_epoch_factor3","E1",13.0000000000018,14.9889337962543,135.000000000005,0.867306519377012,1
"day_in_epoch_factor1 - day_in_epoch_factor4","E1",6.16666666666845,14.9889337962543,135.000000000005,0.411414630986594,1
"day_in_epoch_factor1 - day_in_epoch_factor5","E1",-6.4999999999982,14.9889337962543,135.000000000004,-0.433653259688325,1
"day_in_epoch_factor1 - day_in_epoch_factor6","E1",2.0000000000018,14.9889337962543,135.000000000005,0.133431772211949,1
"day_in_epoch_factor1 - day_in_epoch_factor7","E1",35.3333333333351,14.9889337962543,135.000000000005,2.35729464240911,0.396905363556846
"day_in_epoch_factor2 - day_in_epoch_factor3","E1",7.66666666666667,14.9889337962543,135.000000000002,0.511488460145348,1
"day_in_epoch_factor2 - day_in_epoch_factor4","E1",0.83333333333331,14.9889337962543,135,0.0555965717549275,1
"day_in_epoch_factor2 - day_in_epoch_factor5","E1",-11.8333333333333,14.9889337962543,135,-0.789471318919993,1
"day_in_epoch_factor2 - day_in_epoch_factor6","E1",-3.33333333333334,14.9889337962543,135.000000000002,-0.222386287019717,1
"day_in_epoch_factor2 - day_in_epoch_factor7","E1",30,14.9889337962543,135.000000000002,2.00147658317745,0.852219809484822
"day_in_epoch_factor3 - day_in_epoch_factor4","E1",-6.83333333333336,14.9889337962543,135.000000000002,-0.45589188839042,1
"day_in_epoch_factor3 - day_in_epoch_factor5","E1",-19.5,14.9889337962543,135,-1.30095977906534,1
"day_in_epoch_factor3 - day_in_epoch_factor6","E1",-11,14.9889337962543,135.000000000002,-0.733874747165065,1
"day_in_epoch_factor3 - day_in_epoch_factor7","E1",22.3333333333333,14.9889337962543,135.000000000002,1.4899881230321,1
"day_in_epoch_factor4 - day_in_epoch_factor5","E1",-12.6666666666666,14.9889337962543,135,-0.845067890674921,1
"day_in_epoch_factor4 - day_in_epoch_factor6","E1",-4.16666666666665,14.9889337962543,135.000000000002,-0.277982858774645,1
"day_in_epoch_factor4 - day_in_epoch_factor7","E1",29.1666666666667,14.9889337962543,135.000000000002,1.94588001142252,0.913694639628272
"day_in_epoch_factor5 - day_in_epoch_factor6","E1",8.5,14.9889337962543,135,0.567085031900276,1
"day_in_epoch_factor5 - day_in_epoch_factor7","E1",41.8333333333333,14.9889337962543,135,2.79094790209744,0.126364927345883
"day_in_epoch_factor6 - day_in_epoch_factor7","E1",33.3333333333333,14.9889337962543,135.000000000002,2.22386287019716,0.52856700215645
"day_in_epoch_factor1 - day_in_epoch_factor2","E2",-17.8333333333335,14.9889337962543,135.000000000004,-1.18976663555549,1
"day_in_epoch_factor1 - day_in_epoch_factor3","E2",-30.3333333333334,14.9889337962543,135.000000000004,-2.02371521187943,0.569727151337829
"day_in_epoch_factor1 - day_in_epoch_factor4","E2",-43.6666666666668,14.9889337962543,135.000000000004,-2.91326035995829,0.0711857454809346
"day_in_epoch_factor1 - day_in_epoch_factor5","E2",-54.6666666666668,14.9889337962543,135.000000000004,-3.64713510712336,0.00717458120434803
"day_in_epoch_factor1 - day_in_epoch_factor6","E2",-64.1666666666668,14.9889337962543,135.000000000004,-4.28093602512955,0.000736180202118154
"day_in_epoch_factor1 - day_in_epoch_factor7","E2",-60.8333333333334,14.9889337962543,135.000000000004,-4.05854973810983,0.00166329311092168
"day_in_epoch_factor2 - day_in_epoch_factor3","E2",-12.5,14.9889337962543,135.000000000002,-0.833948576323935,1
"day_in_epoch_factor2 - day_in_epoch_factor4","E2",-25.8333333333333,14.9889337962543,135,-1.7234937244028,0.957975680324514
"day_in_epoch_factor2 - day_in_epoch_factor5","E2",-36.8333333333333,14.9889337962543,135,-2.45736847156786,0.228959651272668
"day_in_epoch_factor2 - day_in_epoch_factor6","E2",-46.3333333333333,14.9889337962543,135,-3.09116938957405,0.0436012002313676
"day_in_epoch_factor2 - day_in_epoch_factor7","E2",-43,14.9889337962543,135,-2.86878310255434,0.0765402832330605
"day_in_epoch_factor3 - day_in_epoch_factor4","E2",-13.3333333333333,14.9889337962543,135.000000000002,-0.889545148078866,1
"day_in_epoch_factor3 - day_in_epoch_factor5","E2",-24.3333333333333,14.9889337962543,135,-1.62341989524393,1
"day_in_epoch_factor3 - day_in_epoch_factor6","E2",-33.8333333333333,14.9889337962543,135,-2.25722081325012,0.358402963333451
"day_in_epoch_factor3 - day_in_epoch_factor7","E2",-30.5,14.9889337962543,135.000000000002,-2.0348345262304,0.569727151337829
"day_in_epoch_factor4 - day_in_epoch_factor5","E2",-11,14.9889337962543,135,-0.733874747165064,1
"day_in_epoch_factor4 - day_in_epoch_factor6","E2",-20.5,14.9889337962543,135,-1.36767566517126,1
"day_in_epoch_factor4 - day_in_epoch_factor7","E2",-17.1666666666666,14.9889337962543,135,-1.14528937815154,1
"day_in_epoch_factor5 - day_in_epoch_factor6","E2",-9.5,14.9889337962543,135,-0.633800918006191,1
"day_in_epoch_factor5 - day_in_epoch_factor7","E2",-6.16666666666666,14.9889337962543,135,-0.411414630986475,1
"day_in_epoch_factor6 - day_in_epoch_factor7","E2",3.33333333333334,14.9889337962543,135,0.222386287019717,1
"day_in_epoch_factor1 - day_in_epoch_factor2","E3",9.16666666666639,14.9889337962543,135.000000000003,0.611562289304202,1
"day_in_epoch_factor1 - day_in_epoch_factor3","E3",26.8333333333331,14.9889337962543,135.000000000004,1.7902096105087,1
"day_in_epoch_factor1 - day_in_epoch_factor4","E3",31.9999999999997,14.9889337962543,135.000000000003,2.13490835538926,0.656919065473052
"day_in_epoch_factor1 - day_in_epoch_factor5","E3",33.3333333333331,14.9889337962543,135.000000000003,2.22386287019714,0.584205633962419
"day_in_epoch_factor1 - day_in_epoch_factor6","E3",32.6666666666664,14.9889337962543,135.000000000003,2.1793856127932,0.620756647053416
"day_in_epoch_factor1 - day_in_epoch_factor7","E3",26.9999999999997,14.9889337962543,135.000000000003,1.80132892485968,1
"day_in_epoch_factor2 - day_in_epoch_factor3","E3",17.6666666666667,14.9889337962543,135,1.1786473212045,1
"day_in_epoch_factor2 - day_in_epoch_factor4","E3",22.8333333333333,14.9889337962543,135,1.52334606608506,1
"day_in_epoch_factor2 - day_in_epoch_factor5","E3",24.1666666666667,14.9889337962543,135,1.61230058089294,1
"day_in_epoch_factor2 - day_in_epoch_factor6","E3",23.5,14.9889337962543,135,1.567823323489,1
"day_in_epoch_factor2 - day_in_epoch_factor7","E3",17.8333333333333,14.9889337962543,135,1.18976663555548,1
"day_in_epoch_factor3 - day_in_epoch_factor4","E3",5.16666666666667,14.9889337962543,135,0.344698744880561,1
"day_in_epoch_factor3 - day_in_epoch_factor5","E3",6.5,14.9889337962543,135,0.433653259688447,1
"day_in_epoch_factor3 - day_in_epoch_factor6","E3",5.83333333333333,14.9889337962543,135,0.389176002284503,1
"day_in_epoch_factor3 - day_in_epoch_factor7","E3",0.166666666666675,14.9889337962543,135,0.0111193143509864,1
"day_in_epoch_factor4 - day_in_epoch_factor5","E3",1.33333333333333,14.9889337962543,135,0.0889545148078861,1
"day_in_epoch_factor4 - day_in_epoch_factor6","E3",0.666666666666658,14.9889337962543,135,0.0444772574039427,1
"day_in_epoch_factor4 - day_in_epoch_factor7","E3",-5,14.9889337962543,135,-0.333579430529574,1
"day_in_epoch_factor5 - day_in_epoch_factor6","E3",-0.666666666666669,14.9889337962543,135,-0.0444772574039434,1
"day_in_epoch_factor5 - day_in_epoch_factor7","E3",-6.33333333333332,14.9889337962543,135,-0.42253394533746,1
"day_in_epoch_factor6 - day_in_epoch_factor7","E3",-5.66666666666665,14.9889337962543,135,-0.378056687933517,1
"day_in_epoch_factor1 - day_in_epoch_factor2","E4",-23.3333333333335,14.9889337962543,135.000000000003,-1.55670400913802,1
"day_in_epoch_factor1 - day_in_epoch_factor3","E4",-24.5000000000001,14.9889337962543,135.000000000003,-1.63453920959493,1
"day_in_epoch_factor1 - day_in_epoch_factor4","E4",-48.8333333333335,14.9889337962543,135.000000000003,-3.25795910483885,0.0269725208386591
"day_in_epoch_factor1 - day_in_epoch_factor5","E4",-37.8333333333335,14.9889337962543,135.000000000003,-2.52408435767379,0.204133548350251
"day_in_epoch_factor1 - day_in_epoch_factor6","E4",-55.3333333333335,14.9889337962543,135.000000000003,-3.6916123645273,0.00644791256654645
"day_in_epoch_factor1 - day_in_epoch_factor7","E4",-66.0000000000001,14.9889337962543,135.000000000003,-4.40324848299039,0.000451754958207773
"day_in_epoch_factor2 - day_in_epoch_factor3","E4",-1.16666666666666,14.9889337962543,135,-0.0778352004569006,1
"day_in_epoch_factor2 - day_in_epoch_factor4","E4",-25.5,14.9889337962543,135,-1.70125509570083,1
"day_in_epoch_factor2 - day_in_epoch_factor5","E4",-14.5,14.9889337962543,135,-0.967380348535766,1
"day_in_epoch_factor2 - day_in_epoch_factor6","E4",-32,14.9889337962543,135,-2.13490835538928,0.518620314847124
"day_in_epoch_factor2 - day_in_epoch_factor7","E4",-42.6666666666666,14.9889337962543,135,-2.84654447385237,0.0919841789692245
"day_in_epoch_factor3 - day_in_epoch_factor4","E4",-24.3333333333333,14.9889337962543,135,-1.62341989524393,1
"day_in_epoch_factor3 - day_in_epoch_factor5","E4",-13.3333333333333,14.9889337962543,135,-0.889545148078865,1
"day_in_epoch_factor3 - day_in_epoch_factor6","E4",-30.8333333333333,14.9889337962543,135,-2.05707315493238,0.58246283721071
"day_in_epoch_factor3 - day_in_epoch_factor7","E4",-41.5,14.9889337962543,135.000000000002,-2.76870927339547,0.109133500219825
"day_in_epoch_factor4 - day_in_epoch_factor5","E4",11,14.9889337962543,135,0.733874747165064,1
"day_in_epoch_factor4 - day_in_epoch_factor6","E4",-6.49999999999999,14.9889337962543,135,-0.433653259688446,1
"day_in_epoch_factor4 - day_in_epoch_factor7","E4",-17.1666666666666,14.9889337962543,135,-1.14528937815154,1
"day_in_epoch_factor5 - day_in_epoch_factor6","E4",-17.5,14.9889337962543,135,-1.16752800685351,1
"day_in_epoch_factor5 - day_in_epoch_factor7","E4",-28.1666666666666,14.9889337962543,135,-1.8791641253166,0.810912892437288
"day_in_epoch_factor6 - day_in_epoch_factor7","E4",-10.6666666666667,14.9889337962543,135,-0.711636118463091,1
